season,team,oc_name,play_caller,from_week,to_week,source
2025,NE,Josh McDaniels,Josh McDaniels,1,22,patriots.com; 2025 AP Assistant Coach of the Year
2025,NO,Doug Nussmeier,Kellen Moore,1,22,profootballrumors 2025 tracker; HC Moore calls plays
2025,NYG,Mike Kafka,Mike Kafka,1,10,NFL.com 2025-11 Daboll fired after wk10; Kafka was play-caller
2025,NYG,Tim Kelly,Mike Kafka,11,22,ESPN 2025-11 TE coach Kelly assumed OC duties; interim HC Kafka kept play-calling
2025,NYJ,Tanner Engstrand,Tanner Engstrand,1,22,newyorkjets.com 2025-01-31
2025,PHI,Kevin Patullo,Kevin Patullo,1,22,season records
2025,PIT,Arthur Smith,Arthur Smith,1,22,season records
2025,SEA,Klint Kubiak,Klint Kubiak,1,22,seahawks 2025-01-26 hire; won SB LX
2025,SF,Klay Kubiak,Kyle Shanahan,1,22,49ers.com 2025-01-08; HC Shanahan calls plays
2025,TB,Josh Grizzard,Josh Grizzard,1,22,buccaneers.com 2025-01-31 promotion
2025,TEN,Nick Holz,Brian Callahan,1,3,ESPN 2025 Callahan called plays wks1-3
2025,TEN,Nick Holz,Bo Hardegree,4,22,ESPN 2025 QB coach Hardegree play-caller from wk4 (retained under interim HC McCoy)
2025,WAS,Kliff Kingsbury,Kliff Kingsbury,1,22,season records
